round,sensor_id,aoi_before,aoi_after,visited
1,1,0,17,1
1,2,0,15,1
1,3,0,3,1
1,4,0,11,1
1,5,0,9,1
1,6,0,7,1
1,7,0,5,1
1,8,0,13,1
1,9,0,1,1
1,10,0,19,0
2,1,17,17,1
2,2,15,13,1
2,3,3,1,1
2,4,11,9,1
2,5,9,7,1
2,6,7,5,1
2,7,5,3,1
2,8,13,11,1
2,9,1,20,0
2,10,19,15,1
3,1,17,17,1
3,2,13,11,1
3,3,1,20,0
3,4,9,7,1
3,5,7,5,1
3,6,5,3,1
3,7,3,1,1
3,8,11,9,1
3,9,20,13,1
3,10,15,15,1
4,1,17,17,1
4,2,11,9,1
4,3,20,13,1
4,4,7,5,1
4,5,5,3,1
4,6,3,1,1
4,7,1,20,0
4,8,9,7,1
4,9,13,11,1
4,10,15,15,1
5,1,17,17,1
5,2,9,7,1
5,3,13,11,1
5,4,5,3,1
5,5,3,1,1
5,6,1,20,0
5,7,20,9,1
5,8,7,5,1
5,9,11,13,1
5,10,15,15,1
6,1,17,17,1
6,2,7,7,1
6,3,11,11,1
6,4,3,3,1
6,5,1,20,0
6,6,20,13,1
6,7,9,1,1
6,8,5,5,1
6,9,13,9,1
6,10,15,15,1
7,1,17,17,1
7,2,7,5,1
7,3,11,9,1
7,4,3,1,1
7,5,20,13,1
7,6,13,11,1
7,7,1,20,0
7,8,5,3,1
7,9,9,7,1
7,10,15,15,1
8,1,17,17,1
8,2,5,3,1
8,3,9,7,1
8,4,1,20,0
8,5,13,13,1
8,6,11,11,1
8,7,20,9,1
8,8,3,1,1
8,9,7,5,1
8,10,15,15,1
9,1,17,17,1
9,2,3,1,1
9,3,7,5,1
9,4,20,13,1
9,5,13,11,1
9,6,11,9,1
9,7,9,7,1
9,8,1,20,0
9,9,5,3,1
9,10,15,15,1
10,1,17,17,1
10,2,1,20,0
10,3,5,3,1
10,4,13,11,1
10,5,11,9,1
10,6,9,7,1
10,7,7,5,1
10,8,20,13,1
10,9,3,1,1
10,10,15,15,1
11,1,17,17,1
11,2,20,15,1
11,3,3,1,1
11,4,11,11,1
11,5,9,7,1
11,6,7,5,1
11,7,5,3,1
11,8,13,13,1
11,9,1,20,0
11,10,15,9,1
12,1,17,17,1
12,2,15,15,1
12,3,1,20,0
12,4,11,11,1
12,5,7,5,1
12,6,5,3,1
12,7,3,1,1
12,8,13,13,1
12,9,20,9,1
12,10,9,7,1
13,1,17,17,1
13,2,15,15,1
13,3,20,9,1
13,4,11,11,1
13,5,5,3,1
13,6,3,1,1
13,7,1,20,0
13,8,13,13,1
13,9,9,7,1
13,10,7,5,1
14,1,17,17,1
14,2,15,15,1
14,3,9,7,1
14,4,11,11,1
14,5,3,1,1
14,6,1,20,0
14,7,20,9,1
14,8,13,13,1
14,9,7,5,1
14,10,5,3,1
15,1,17,17,1
15,2,15,15,1
15,3,7,5,1
15,4,11,11,1
15,5,1,20,0
15,6,20,9,1
15,7,9,7,1
15,8,13,13,1
15,9,5,3,1
15,10,3,1,1
16,1,17,17,1
16,2,15,15,1
16,3,5,3,1
16,4,11,11,1
16,5,20,9,1
16,6,9,7,1
16,7,7,5,1
16,8,13,13,1
16,9,3,1,1
16,10,1,20,0
17,1,17,17,1
17,2,15,13,1
17,3,3,1,1
17,4,11,9,1
17,5,9,7,1
17,6,7,5,1
17,7,5,3,1
17,8,13,11,1
17,9,1,20,0
17,10,20,15,1
18,1,17,17,1
18,2,13,11,1
18,3,1,20,0
18,4,9,7,1
18,5,7,5,1
18,6,5,3,1
18,7,3,1,1
18,8,11,9,1
18,9,20,13,1
18,10,15,15,1
19,1,17,17,1
19,2,11,9,1
19,3,20,13,1
19,4,7,5,1
19,5,5,3,1
19,6,3,1,1
19,7,1,20,0
19,8,9,7,1
19,9,13,11,1
19,10,15,15,1
20,1,17,17,1
20,2,9,7,1
20,3,13,11,1
20,4,5,3,1
20,5,3,1,1
20,6,1,20,0
20,7,20,9,1
20,8,7,5,1
