round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,31481.3851,81.0000,15.4000,9,1206.2036,0 -> 3 -> 3 -> 24 -> 24 -> 8 -> 8 -> 14 -> 14 -> 20 -> 20 -> 6 -> 6 -> 18 -> 18 -> 16 -> 16 -> 4 -> 4 -> 0
2,59313.4326,252.0000,23.9600,9,1789.6607,0 -> 1 -> 1 -> 23 -> 23 -> 2 -> 2 -> 19 -> 19 -> 13 -> 13 -> 21 -> 21 -> 11 -> 11 -> 25 -> 25 -> 9 -> 9 -> 0
3,66712.6379,417.0000,25.9200,9,2141.0492,0 -> 7 -> 7 -> 15 -> 15 -> 12 -> 12 -> 5 -> 5 -> 22 -> 22 -> 10 -> 10 -> 17 -> 17 -> 3 -> 3 -> 24 -> 24 -> 0
4,53623.9940,466.0000,25.9200,9,1929.0082,0 -> 8 -> 8 -> 14 -> 14 -> 20 -> 20 -> 6 -> 6 -> 18 -> 18 -> 16 -> 16 -> 4 -> 4 -> 1 -> 1 -> 23 -> 23 -> 0
5,61943.4466,466.0000,25.9200,9,2098.7325,0 -> 2 -> 2 -> 19 -> 19 -> 13 -> 13 -> 21 -> 21 -> 11 -> 11 -> 25 -> 25 -> 9 -> 9 -> 7 -> 7 -> 15 -> 15 -> 0
6,76235.8941,466.0000,25.9200,9,2211.7526,0 -> 12 -> 12 -> 5 -> 5 -> 22 -> 22 -> 10 -> 10 -> 17 -> 17 -> 3 -> 3 -> 24 -> 24 -> 8 -> 8 -> 14 -> 14 -> 0
7,55065.4704,466.0000,25.9200,9,2072.2759,0 -> 20 -> 20 -> 6 -> 6 -> 18 -> 18 -> 16 -> 16 -> 4 -> 4 -> 1 -> 1 -> 23 -> 23 -> 2 -> 2 -> 19 -> 19 -> 0
8,66454.1403,466.0000,25.9200,9,2268.3016,0 -> 13 -> 13 -> 21 -> 21 -> 11 -> 11 -> 25 -> 25 -> 9 -> 9 -> 7 -> 7 -> 15 -> 15 -> 12 -> 12 -> 5 -> 5 -> 0
9,82335.4045,466.0000,25.9200,9,2212.8651,0 -> 22 -> 22 -> 10 -> 10 -> 17 -> 17 -> 3 -> 3 -> 24 -> 24 -> 8 -> 8 -> 14 -> 14 -> 20 -> 20 -> 6 -> 6 -> 0
10,58786.0590,466.0000,25.9200,9,1911.2380,0 -> 18 -> 18 -> 16 -> 16 -> 4 -> 4 -> 1 -> 1 -> 23 -> 23 -> 2 -> 2 -> 19 -> 19 -> 13 -> 13 -> 21 -> 21 -> 0
11,97247.1321,466.0000,25.9200,9,2730.8846,0 -> 11 -> 11 -> 25 -> 25 -> 9 -> 9 -> 7 -> 7 -> 15 -> 15 -> 12 -> 12 -> 5 -> 5 -> 22 -> 22 -> 10 -> 10 -> 0
12,107222.0612,466.0000,25.9200,9,2430.4335,0 -> 17 -> 17 -> 3 -> 3 -> 24 -> 24 -> 8 -> 8 -> 14 -> 14 -> 20 -> 20 -> 6 -> 6 -> 18 -> 18 -> 16 -> 16 -> 0
13,55106.3071,466.0000,25.9200,9,1900.8745,0 -> 4 -> 4 -> 1 -> 1 -> 23 -> 23 -> 2 -> 2 -> 19 -> 19 -> 13 -> 13 -> 21 -> 21 -> 11 -> 11 -> 25 -> 25 -> 0
14,80008.1944,466.0000,25.9200,9,2562.6829,0 -> 9 -> 9 -> 7 -> 7 -> 15 -> 15 -> 12 -> 12 -> 5 -> 5 -> 22 -> 22 -> 10 -> 10 -> 17 -> 17 -> 3 -> 3 -> 0
