round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,30343.7470,81.0000,18.5500,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
2,30343.7470,162.0000,36.6950,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
3,30343.7470,162.0000,54.8400,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
4,30343.7470,162.0000,72.9850,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
5,30343.7470,162.0000,91.1300,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
6,30343.7470,162.0000,109.2750,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
7,30343.7470,162.0000,127.4200,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
8,30343.7470,162.0000,145.5650,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
9,30343.7470,162.0000,163.7100,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
10,30343.7470,162.0000,181.8550,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
11,30343.7470,162.0000,200.0000,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
12,30343.7470,162.0000,218.1450,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
13,30343.7470,162.0000,236.2900,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
14,30343.7470,162.0000,254.4350,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
15,30343.7470,162.0000,272.5800,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
16,30343.7470,162.0000,290.7250,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
17,30343.7470,162.0000,308.8700,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
18,30343.7470,162.0000,327.0150,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
19,30343.7470,162.0000,345.1600,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
20,30343.7470,162.0000,363.3050,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
21,30343.7470,162.0000,381.4500,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
22,30343.7470,162.0000,399.5950,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
23,30343.7470,162.0000,417.7400,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
24,30343.7470,162.0000,435.8850,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
25,30343.7470,162.0000,454.0300,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
26,30343.7470,162.0000,472.1750,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
27,30343.7470,162.0000,490.3200,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
28,30343.7470,162.0000,508.4650,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
29,30343.7470,162.0000,526.6100,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
30,30343.7470,162.0000,544.7550,9,650.0560,0 -> 95 -> 95 -> 147 -> 147 -> 23 -> 23 -> 106 -> 106 -> 17 -> 17 -> 183 -> 183 -> 72 -> 72 -> 110 -> 110 -> 54 -> 54 -> 0
