round,sensor_id,aoi_before,aoi_after,visited
1,1,0,11,1
1,2,0,15,1
1,3,0,19,0
1,4,0,19,0
1,5,0,19,0
1,6,0,19,0
1,7,0,19,0
1,8,0,19,0
1,9,0,7,1
1,10,0,19,0
1,11,0,19,0
1,12,0,19,0
1,13,0,19,0
1,14,0,19,0
1,15,0,19,0
1,16,0,19,0
1,17,0,13,1
1,18,0,19,0
1,19,0,17,1
1,20,0,5,1
1,21,0,19,0
1,22,0,19,0
1,23,0,19,0
1,24,0,1,1
1,25,0,3,1
1,26,0,19,0
1,27,0,19,0
1,28,0,19,0
1,29,0,19,0
1,30,0,9,1
2,1,11,30,0
2,2,15,34,0
2,3,19,15,1
2,4,19,1,1
2,5,19,38,0
2,6,19,17,1
2,7,19,9,1
2,8,19,11,1
2,9,7,26,0
2,10,19,38,0
2,11,19,38,0
2,12,19,38,0
2,13,19,38,0
2,14,19,7,1
2,15,19,38,0
2,16,19,38,0
2,17,13,32,0
2,18,19,38,0
2,19,17,36,0
2,20,5,24,0
2,21,19,38,0
2,22,19,38,0
2,23,19,5,1
2,24,1,20,0
2,25,3,22,0
2,26,19,38,0
2,27,19,13,1
2,28,19,38,0
2,29,19,3,1
2,30,9,28,0
3,1,30,49,0
3,2,34,53,0
3,3,15,34,0
3,4,1,20,0
3,5,38,3,1
3,6,17,36,0
3,7,9,28,0
3,8,11,30,0
3,9,26,45,0
3,10,38,57,0
3,11,38,57,0
3,12,38,11,1
3,13,38,57,0
3,14,7,26,0
3,15,38,5,1
3,16,38,7,1
3,17,32,51,0
3,18,38,15,1
3,19,36,1,1
3,20,24,43,0
3,21,38,17,1
3,22,38,13,1
3,23,5,24,0
3,24,20,39,0
3,25,22,41,0
3,26,38,57,0
3,27,13,32,0
3,28,38,9,1
3,29,3,22,0
3,30,28,47,0
4,1,49,13,1
4,2,53,17,1
4,3,34,53,0
4,4,20,39,0
4,5,3,22,0
4,6,36,55,0
4,7,28,47,0
4,8,30,49,0
4,9,45,5,1
4,10,57,9,1
4,11,57,11,1
4,12,11,30,0
4,13,57,7,1
4,14,26,45,0
4,15,5,24,0
4,16,7,26,0
4,17,51,15,1
4,18,15,34,0
4,19,1,20,0
4,20,43,62,0
4,21,17,36,0
4,22,13,32,0
4,23,24,43,0
4,24,39,58,0
4,25,41,60,0
4,26,57,1,1
4,27,32,51,0
4,28,9,28,0
4,29,22,41,0
4,30,47,3,1
5,1,13,32,0
5,2,17,36,0
5,3,53,3,1
5,4,39,58,0
5,5,22,41,0
5,6,55,1,1
5,7,47,15,1
5,8,49,11,1
5,9,5,24,0
5,10,9,28,0
5,11,11,30,0
5,12,30,49,0
5,13,7,26,0
5,14,45,13,1
5,15,24,43,0
5,16,26,45,0
5,17,15,34,0
5,18,34,53,0
5,19,20,39,0
5,20,62,7,1
5,21,36,55,0
5,22,32,51,0
5,23,43,62,0
5,24,58,17,1
5,25,60,5,1
5,26,1,20,0
5,27,51,9,1
5,28,28,47,0
5,29,41,60,0
5,30,3,22,0
6,1,32,51,0
6,2,36,55,0
6,3,3,22,0
6,4,58,1,1
6,5,41,60,0
6,6,1,20,0
6,7,15,34,0
6,8,11,30,0
6,9,24,43,0
6,10,28,47,0
6,11,30,49,0
6,12,49,5,1
6,13,26,45,0
6,14,13,32,0
6,15,43,11,1
6,16,45,64,0
6,17,34,53,0
6,18,53,15,1
6,19,39,58,0
6,20,7,26,0
6,21,55,17,1
6,22,51,13,1
6,23,62,9,1
6,24,17,36,0
6,25,5,24,0
6,26,20,39,0
6,27,9,28,0
6,28,47,7,1
6,29,60,3,1
6,30,22,41,0
7,1,51,5,1
7,2,55,1,1
7,3,22,41,0
7,4,1,20,0
7,5,60,15,1
7,6,20,39,0
7,7,34,53,0
7,8,30,49,0
7,9,43,13,1
7,10,47,66,0
7,11,49,9,1
7,12,5,24,0
7,13,45,11,1
7,14,32,51,0
7,15,11,30,0
7,16,64,7,1
7,17,53,3,1
7,18,15,34,0
7,19,58,17,1
7,20,26,45,0
7,21,17,36,0
7,22,13,32,0
7,23,9,28,0
7,24,36,55,0
7,25,24,43,0
7,26,39,58,0
7,27,28,47,0
7,28,7,26,0
7,29,3,22,0
7,30,41,60,0
8,1,5,24,0
8,2,1,20,0
8,3,41,17,1
8,4,20,39,0
8,5,15,34,0
8,6,39,58,0
8,7,53,3,1
8,8,49,11,1
8,9,13,32,0
8,10,66,15,1
8,11,9,28,0
8,12,24,43,0
8,13,11,30,0
8,14,51,9,1
8,15,30,49,0
8,16,7,26,0
8,17,3,22,0
8,18,34,53,0
8,19,17,36,0
8,20,45,64,0
