round,sensor_id,aoi_before,aoi_after,visited
1,1,0,19,0
1,2,0,13,1
1,3,0,19,0
1,4,0,15,1
1,5,0,9,1
1,6,0,19,0
1,7,0,19,0
1,8,0,7,1
1,9,0,19,0
1,10,0,17,1
1,11,0,5,1
1,12,0,1,1
1,13,0,19,0
1,14,0,19,0
1,15,0,3,1
1,16,0,19,0
1,17,0,19,0
1,18,0,19,0
1,19,0,19,0
1,20,0,11,1
2,1,19,13,1
2,2,13,32,0
2,3,19,38,0
2,4,15,34,0
2,5,9,28,0
2,6,19,11,1
2,7,19,17,1
2,8,7,26,0
2,9,19,38,0
2,10,17,1,1
2,11,5,24,0
2,12,1,20,0
2,13,19,38,0
2,14,19,7,1
2,15,3,22,0
2,16,19,3,1
2,17,19,5,1
2,18,19,9,1
2,19,19,15,1
2,20,11,30,0
3,1,13,32,0
3,2,32,15,1
3,3,38,7,1
3,4,34,17,1
3,5,28,11,1
3,6,11,30,0
3,7,17,36,0
3,8,26,3,1
3,9,38,5,1
3,10,1,20,0
3,11,24,43,0
3,12,20,39,0
3,13,38,9,1
3,14,7,26,0
3,15,22,1,1
3,16,3,22,0
3,17,5,24,0
3,18,9,28,0
3,19,15,34,0
3,20,30,13,1
4,1,32,13,1
4,2,15,34,0
4,3,7,26,0
4,4,17,36,0
4,5,11,30,0
4,6,30,11,1
4,7,36,17,1
4,8,3,22,0
4,9,5,24,0
4,10,20,39,0
4,11,43,3,1
4,12,39,1,1
4,13,9,28,0
4,14,26,7,1
4,15,1,20,0
4,16,22,41,0
4,17,24,5,1
4,18,28,9,1
4,19,34,15,1
4,20,13,32,0
5,1,13,32,0
5,2,34,3,1
5,3,26,11,1
5,4,36,17,1
5,5,30,7,1
5,6,11,30,0
5,7,17,36,0
5,8,22,41,0
5,9,24,13,1
5,10,39,1,1
5,11,3,22,0
5,12,1,20,0
5,13,28,9,1
5,14,7,26,0
5,15,20,39,0
5,16,41,15,1
5,17,5,24,0
5,18,9,28,0
5,19,15,34,0
5,20,32,5,1
6,1,32,5,1
6,2,3,22,0
6,3,11,30,0
6,4,17,36,0
6,5,7,26,0
6,6,30,7,1
6,7,36,1,1
6,8,41,15,1
6,9,13,32,0
6,10,1,20,0
6,11,22,41,0
6,12,20,39,0
6,13,9,28,0
6,14,26,11,1
6,15,39,17,1
6,16,15,34,0
6,17,24,13,1
6,18,28,9,1
6,19,34,3,1
6,20,5,24,0
7,1,5,24,0
7,2,22,15,1
7,3,30,7,1
7,4,36,1,1
7,5,26,11,1
7,6,7,26,0
7,7,1,20,0
7,8,15,34,0
7,9,32,9,1
7,10,20,39,0
7,11,41,3,1
7,12,39,17,1
7,13,28,5,1
7,14,11,30,0
7,15,17,36,0
7,16,34,13,1
7,17,13,32,0
7,18,9,28,0
7,19,3,22,0
7,20,24,43,0
8,1,24,3,1
8,2,15,34,0
8,3,7,26,0
8,4,1,20,0
8,5,11,30,0
8,6,26,5,1
8,7,20,39,0
8,8,34,15,1
8,9,9,28,0
8,10,39,1,1
8,11,3,22,0
8,12,17,36,0
8,13,5,24,0
8,14,30,9,1
8,15,36,17,1
8,16,13,32,0
8,17,32,11,1
8,18,28,7,1
8,19,22,41,0
8,20,43,13,1
9,1,3,22,0
9,2,34,13,1
9,3,26,7,1
9,4,20,39,0
9,5,30,9,1
9,6,5,24,0
9,7,39,17,1
9,8,15,34,0
9,9,28,5,1
9,10,1,20,0
9,11,22,3,1
9,12,36,1,1
9,13,24,43,0
9,14,9,28,0
9,15,17,36,0
9,16,32,11,1
9,17,11,30,0
9,18,7,26,0
9,19,41,15,1
9,20,13,32,0
10,1,22,3,1
10,2,13,32,0
