round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,39111.9770,81.0000,14.5000,9,1204.0213,0 -> 19 -> 19 -> 3 -> 3 -> 4 -> 4 -> 6 -> 6 -> 20 -> 20 -> 12 -> 12 -> 13 -> 13 -> 10 -> 10 -> 11 -> 11 -> 0
2,36316.5682,232.0000,21.4500,9,1132.6056,0 -> 19 -> 19 -> 3 -> 3 -> 4 -> 4 -> 6 -> 6 -> 9 -> 9 -> 8 -> 8 -> 18 -> 18 -> 17 -> 17 -> 14 -> 14 -> 0
3,34616.4025,383.0000,20.8500,9,1183.5675,0 -> 2 -> 2 -> 7 -> 7 -> 5 -> 5 -> 15 -> 15 -> 1 -> 1 -> 16 -> 16 -> 11 -> 11 -> 12 -> 12 -> 20 -> 20 -> 0
4,34977.3882,375.0000,20.6500,9,1228.0520,0 -> 19 -> 19 -> 3 -> 3 -> 4 -> 4 -> 6 -> 6 -> 13 -> 13 -> 10 -> 10 -> 9 -> 9 -> 8 -> 8 -> 18 -> 18 -> 0
5,40169.2939,371.0000,20.6500,9,1187.2367,0 -> 2 -> 2 -> 7 -> 7 -> 5 -> 5 -> 17 -> 17 -> 14 -> 14 -> 15 -> 15 -> 1 -> 1 -> 16 -> 16 -> 11 -> 11 -> 0
6,33031.4875,371.0000,20.6500,9,1073.0945,0 -> 19 -> 19 -> 3 -> 3 -> 4 -> 4 -> 6 -> 6 -> 20 -> 20 -> 12 -> 12 -> 13 -> 13 -> 10 -> 10 -> 9 -> 9 -> 0
7,39284.6721,371.0000,20.6500,9,1086.5655,0 -> 2 -> 2 -> 7 -> 7 -> 5 -> 5 -> 18 -> 18 -> 17 -> 17 -> 14 -> 14 -> 8 -> 8 -> 1 -> 1 -> 15 -> 15 -> 0
8,39111.9770,352.0000,21.6000,9,1204.0213,0 -> 19 -> 19 -> 3 -> 3 -> 4 -> 4 -> 6 -> 6 -> 20 -> 20 -> 12 -> 12 -> 13 -> 13 -> 10 -> 10 -> 11 -> 11 -> 0
9,34524.3747,386.0000,20.8500,9,1083.6258,0 -> 2 -> 2 -> 7 -> 7 -> 5 -> 5 -> 17 -> 17 -> 18 -> 18 -> 8 -> 8 -> 1 -> 1 -> 16 -> 16 -> 9 -> 9 -> 0
10,39111.9770,333.0000,22.7500,9,1204.0213,0 -> 19 -> 19 -> 3 -> 3 -> 4 -> 4 -> 6 -> 6 -> 20 -> 20 -> 12 -> 12 -> 13 -> 13 -> 10 -> 10 -> 11 -> 11 -> 0
