round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,35867.6992,81.0000,18.1000,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
2,35867.6992,162.0000,35.3900,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
3,35867.6992,162.0000,52.6800,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
4,35867.6992,162.0000,69.9700,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
5,35867.6992,162.0000,87.2600,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
6,35867.6992,162.0000,104.5500,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
7,35867.6992,162.0000,121.8400,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
8,35867.6992,162.0000,139.1300,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
9,35867.6992,162.0000,156.4200,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
10,35867.6992,162.0000,173.7100,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
11,35867.6992,162.0000,191.0000,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
12,35867.6992,162.0000,208.2900,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
13,35867.6992,162.0000,225.5800,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
14,35867.6992,162.0000,242.8700,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
15,35867.6992,162.0000,260.1600,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
16,35867.6992,162.0000,277.4500,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
17,35867.6992,162.0000,294.7400,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
18,35867.6992,162.0000,312.0300,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
19,35867.6992,162.0000,329.3200,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
20,35867.6992,162.0000,346.6100,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
21,35867.6992,162.0000,363.9000,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
22,35867.6992,162.0000,381.1900,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
23,35867.6992,162.0000,398.4800,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
24,35867.6992,162.0000,415.7700,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
25,35867.6992,162.0000,433.0600,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
26,35867.6992,162.0000,450.3500,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
27,35867.6992,162.0000,467.6400,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
28,35867.6992,162.0000,484.9300,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
29,35867.6992,162.0000,502.2200,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
30,35867.6992,162.0000,519.5100,9,958.9592,0 -> 37 -> 37 -> 56 -> 56 -> 7 -> 7 -> 78 -> 78 -> 3 -> 3 -> 54 -> 54 -> 12 -> 12 -> 53 -> 53 -> 21 -> 21 -> 0
