sensor_id,aoi
1,5
2,20
3,53
4,26
5,36
6,1
7,47
8,30
9,39
10,9
11,60
12,15
13,43
14,22
15,32
16,49
17,7
18,58
19,17
20,62
21,13
22,51
23,11
24,3
25,34
26,24
27,45
28,55
29,28
30,41
