round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,30761.2220,81.0000,15.4000,9,461.5282,0 -> 2 -> 2 -> 7 -> 7 -> 21 -> 21 -> 15 -> 15 -> 16 -> 16 -> 17 -> 17 -> 8 -> 8 -> 19 -> 19 -> 20 -> 20 -> 0
2,30296.9894,210.0000,25.6400,9,507.8374,0 -> 2 -> 2 -> 7 -> 7 -> 6 -> 6 -> 21 -> 21 -> 15 -> 15 -> 16 -> 16 -> 17 -> 17 -> 22 -> 22 -> 14 -> 14 -> 0
3,30816.1700,379.0000,29.1200,9,501.7775,0 -> 2 -> 2 -> 7 -> 7 -> 23 -> 23 -> 12 -> 12 -> 24 -> 24 -> 9 -> 9 -> 1 -> 1 -> 11 -> 11 -> 18 -> 18 -> 0
4,30655.7745,445.0000,29.9600,9,466.9869,0 -> 16 -> 16 -> 15 -> 15 -> 21 -> 21 -> 6 -> 6 -> 25 -> 25 -> 3 -> 3 -> 10 -> 10 -> 14 -> 14 -> 4 -> 4 -> 0
5,30770.8620,567.0000,25.9200,9,717.8623,0 -> 2 -> 2 -> 7 -> 7 -> 17 -> 17 -> 8 -> 8 -> 19 -> 19 -> 20 -> 20 -> 5 -> 5 -> 22 -> 22 -> 13 -> 13 -> 0
6,30869.6564,448.0000,26.6400,9,537.1902,0 -> 16 -> 16 -> 15 -> 15 -> 21 -> 21 -> 6 -> 6 -> 23 -> 23 -> 12 -> 12 -> 24 -> 24 -> 9 -> 9 -> 1 -> 1 -> 0
7,30528.3567,391.0000,29.6400,9,440.1814,0 -> 2 -> 2 -> 7 -> 7 -> 17 -> 17 -> 16 -> 16 -> 15 -> 15 -> 3 -> 3 -> 14 -> 14 -> 10 -> 10 -> 25 -> 25 -> 0
8,30569.6603,445.0000,30.4800,9,559.9249,0 -> 18 -> 18 -> 11 -> 11 -> 1 -> 1 -> 4 -> 4 -> 12 -> 12 -> 24 -> 24 -> 9 -> 9 -> 23 -> 23 -> 6 -> 6 -> 0
9,30761.2220,490.0000,29.5200,9,461.5282,0 -> 2 -> 2 -> 7 -> 7 -> 21 -> 21 -> 15 -> 15 -> 16 -> 16 -> 17 -> 17 -> 8 -> 8 -> 19 -> 19 -> 20 -> 20 -> 0
10,30983.2008,509.0000,27.8000,9,628.7744,0 -> 22 -> 22 -> 5 -> 5 -> 3 -> 3 -> 14 -> 14 -> 10 -> 10 -> 25 -> 25 -> 4 -> 4 -> 18 -> 18 -> 11 -> 11 -> 0
