round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,27864.3539,81.0000,15.4000,9,977.0783,0 -> 4 -> 4 -> 23 -> 23 -> 20 -> 20 -> 22 -> 22 -> 7 -> 7 -> 13 -> 13 -> 17 -> 17 -> 1 -> 1 -> 25 -> 25 -> 0
2,28132.6465,250.0000,24.0400,9,793.4747,0 -> 5 -> 5 -> 24 -> 24 -> 2 -> 2 -> 3 -> 3 -> 8 -> 8 -> 9 -> 9 -> 4 -> 4 -> 11 -> 11 -> 12 -> 12 -> 0
3,29309.8444,417.0000,26.0000,9,555.0537,0 -> 16 -> 16 -> 10 -> 10 -> 20 -> 20 -> 15 -> 15 -> 19 -> 19 -> 18 -> 18 -> 6 -> 6 -> 14 -> 14 -> 21 -> 21 -> 0
4,28034.9815,468.0000,25.9200,9,882.8985,0 -> 5 -> 5 -> 22 -> 22 -> 17 -> 17 -> 13 -> 13 -> 7 -> 7 -> 24 -> 24 -> 25 -> 25 -> 1 -> 1 -> 23 -> 23 -> 0
5,28452.9088,464.0000,26.0000,9,720.2421,0 -> 12 -> 12 -> 2 -> 2 -> 9 -> 9 -> 8 -> 8 -> 3 -> 3 -> 16 -> 16 -> 20 -> 20 -> 11 -> 11 -> 4 -> 4 -> 0
6,28986.4766,466.0000,26.0000,9,605.6496,0 -> 21 -> 21 -> 14 -> 14 -> 6 -> 6 -> 18 -> 18 -> 17 -> 17 -> 10 -> 10 -> 5 -> 5 -> 15 -> 15 -> 19 -> 19 -> 0
7,27922.9419,468.0000,25.9200,9,890.6358,0 -> 23 -> 23 -> 13 -> 13 -> 25 -> 25 -> 1 -> 1 -> 24 -> 24 -> 2 -> 2 -> 7 -> 7 -> 22 -> 22 -> 12 -> 12 -> 0
8,28615.7173,466.0000,25.9200,9,699.1583,0 -> 21 -> 21 -> 16 -> 16 -> 9 -> 9 -> 4 -> 4 -> 11 -> 11 -> 8 -> 8 -> 3 -> 3 -> 14 -> 14 -> 20 -> 20 -> 0
9,28700.6843,462.0000,26.0800,9,661.6445,0 -> 6 -> 6 -> 1 -> 1 -> 5 -> 5 -> 18 -> 18 -> 23 -> 23 -> 10 -> 10 -> 17 -> 17 -> 15 -> 15 -> 19 -> 19 -> 0
10,28213.2263,470.0000,25.9200,9,799.3637,0 -> 12 -> 12 -> 22 -> 22 -> 2 -> 2 -> 7 -> 7 -> 16 -> 16 -> 24 -> 24 -> 21 -> 21 -> 13 -> 13 -> 25 -> 25 -> 0
11,28197.6847,466.0000,25.9200,9,771.9549,0 -> 6 -> 6 -> 1 -> 1 -> 3 -> 3 -> 14 -> 14 -> 20 -> 20 -> 11 -> 11 -> 4 -> 4 -> 9 -> 9 -> 8 -> 8 -> 0
12,28762.2662,466.0000,25.9200,9,646.4258,0 -> 15 -> 15 -> 17 -> 17 -> 18 -> 18 -> 5 -> 5 -> 22 -> 22 -> 19 -> 19 -> 23 -> 23 -> 10 -> 10 -> 12 -> 12 -> 0
13,28227.7140,466.0000,25.9200,9,829.1362,0 -> 25 -> 25 -> 13 -> 13 -> 7 -> 7 -> 2 -> 2 -> 24 -> 24 -> 16 -> 16 -> 6 -> 6 -> 1 -> 1 -> 21 -> 21 -> 0
14,28313.0377,466.0000,25.9200,9,752.3217,0 -> 4 -> 4 -> 11 -> 11 -> 20 -> 20 -> 3 -> 3 -> 14 -> 14 -> 17 -> 17 -> 9 -> 9 -> 8 -> 8 -> 15 -> 15 -> 0
15,28426.8670,462.0000,26.0800,9,742.8265,0 -> 23 -> 23 -> 10 -> 10 -> 5 -> 5 -> 13 -> 13 -> 12 -> 12 -> 18 -> 18 -> 7 -> 7 -> 22 -> 22 -> 19 -> 19 -> 0
16,28243.5118,466.0000,26.0800,9,779.6903,0 -> 6 -> 6 -> 1 -> 1 -> 25 -> 25 -> 2 -> 2 -> 24 -> 24 -> 16 -> 16 -> 20 -> 20 -> 11 -> 11 -> 21 -> 21 -> 0
17,28385.0946,470.0000,25.9200,9,744.4778,0 -> 15 -> 15 -> 14 -> 14 -> 17 -> 17 -> 10 -> 10 -> 23 -> 23 -> 8 -> 8 -> 9 -> 9 -> 4 -> 4 -> 3 -> 3 -> 0
18,28295.3649,466.0000,25.9200,9,786.5446,0 -> 19 -> 19 -> 18 -> 18 -> 7 -> 7 -> 13 -> 13 -> 6 -> 6 -> 1 -> 1 -> 12 -> 12 -> 22 -> 22 -> 5 -> 5 -> 0
19,28457.6915,462.0000,26.0800,9,741.5824,0 -> 21 -> 21 -> 20 -> 20 -> 14 -> 14 -> 17 -> 17 -> 11 -> 11 -> 2 -> 2 -> 24 -> 24 -> 16 -> 16 -> 25 -> 25 -> 0
20,28504.1743,468.0000,26.0000,9,725.8709,0 -> 23 -> 23 -> 15 -> 15 -> 4 -> 4 -> 10 -> 10 -> 7 -> 7 -> 9 -> 9 -> 8 -> 8 -> 3 -> 3 -> 19 -> 19 -> 0
21,28226.6217,468.0000,25.9200,9,775.9428,0 -> 6 -> 6 -> 1 -> 1 -> 12 -> 12 -> 18 -> 18 -> 20 -> 20 -> 22 -> 22 -> 5 -> 5 -> 13 -> 13 -> 21 -> 21 -> 0
22,28258.5804,464.0000,26.0000,9,803.3372,0 -> 23 -> 23 -> 2 -> 2 -> 24 -> 24 -> 16 -> 16 -> 4 -> 4 -> 11 -> 11 -> 17 -> 17 -> 14 -> 14 -> 25 -> 25 -> 0
23,28505.4910,468.0000,25.9200,9,707.7419,0 -> 6 -> 6 -> 1 -> 1 -> 9 -> 9 -> 8 -> 8 -> 15 -> 15 -> 7 -> 7 -> 10 -> 10 -> 19 -> 19 -> 3 -> 3 -> 0
24,28269.9029,464.0000,26.0000,9,774.7463,0 -> 21 -> 21 -> 22 -> 22 -> 5 -> 5 -> 24 -> 24 -> 18 -> 18 -> 20 -> 20 -> 23 -> 23 -> 13 -> 13 -> 12 -> 12 -> 0
25,28587.8552,466.0000,26.0000,9,713.9767,0 -> 25 -> 25 -> 2 -> 2 -> 9 -> 9 -> 4 -> 4 -> 11 -> 11 -> 17 -> 17 -> 16 -> 16 -> 14 -> 14 -> 6 -> 6 -> 0
26,28448.8185,468.0000,25.9200,9,713.5901,0 -> 15 -> 15 -> 7 -> 7 -> 10 -> 10 -> 19 -> 19 -> 22 -> 22 -> 8 -> 8 -> 3 -> 3 -> 1 -> 1 -> 21 -> 21 -> 0
27,28047.2883,466.0000,25.9200,9,845.5571,0 -> 25 -> 25 -> 13 -> 13 -> 12 -> 12 -> 18 -> 18 -> 20 -> 20 -> 23 -> 23 -> 2 -> 2 -> 24 -> 24 -> 5 -> 5 -> 0
28,28416.7498,466.0000,25.9200,9,732.1238,0 -> 6 -> 6 -> 9 -> 9 -> 14 -> 14 -> 17 -> 17 -> 16 -> 16 -> 7 -> 7 -> 11 -> 11 -> 4 -> 4 -> 15 -> 15 -> 0
29,28604.0205,466.0000,25.9200,9,716.8614,0 -> 21 -> 21 -> 10 -> 10 -> 22 -> 22 -> 8 -> 8 -> 3 -> 3 -> 1 -> 1 -> 25 -> 25 -> 13 -> 13 -> 19 -> 19 -> 0
30,28369.2038,466.0000,25.9200,9,763.3345,0 -> 24 -> 24 -> 5 -> 5 -> 9 -> 9 -> 20 -> 20 -> 23 -> 23 -> 2 -> 2 -> 12 -> 12 -> 18 -> 18 -> 6 -> 6 -> 0
