round,sensor_id,aoi_before,aoi_after,visited
1,1,0,3,1
1,2,0,19,0
1,3,0,5,1
1,4,0,7,1
1,5,0,17,1
1,6,0,19,0
1,7,0,13,1
1,8,0,11,1
1,9,0,9,1
1,10,0,19,0
1,11,0,15,1
1,12,0,1,1
1,13,0,19,0
1,14,0,19,0
1,15,0,19,0
2,1,3,22,0
2,2,19,7,1
2,3,5,24,0
2,4,7,26,0
2,5,17,1,1
2,6,19,17,1
2,7,13,13,1
2,8,11,30,0
2,9,9,28,0
2,10,19,15,1
2,11,15,9,1
2,12,1,20,0
2,13,19,3,1
2,14,19,11,1
2,15,19,5,1
3,1,22,3,1
3,2,7,26,0
3,3,24,9,1
3,4,26,7,1
3,5,1,20,0
3,6,17,1,1
3,7,13,13,1
3,8,30,11,1
3,9,28,5,1
3,10,15,15,1
3,11,9,28,0
3,12,20,17,1
3,13,3,22,0
3,14,11,30,0
3,15,5,24,0
4,1,3,22,0
4,2,26,1,1
4,3,9,28,0
4,4,7,26,0
4,5,20,9,1
4,6,1,20,0
4,7,13,15,1
4,8,11,30,0
4,9,5,24,0
4,10,15,17,1
4,11,28,3,1
4,12,17,5,1
4,13,22,7,1
4,14,30,11,1
4,15,24,13,1
5,1,22,15,1
5,2,1,20,0
5,3,28,9,1
5,4,26,7,1
5,5,9,28,0
5,6,20,17,1
5,7,15,13,1
5,8,30,3,1
5,9,24,5,1
5,10,17,11,1
5,11,3,22,0
5,12,5,24,0
5,13,7,26,0
5,14,11,30,0
5,15,13,1,1
6,1,15,11,1
6,2,20,7,1
6,3,9,28,0
6,4,7,26,0
6,5,28,17,1
6,6,17,13,1
6,7,13,5,1
6,8,3,22,0
6,9,5,24,0
6,10,11,30,0
6,11,22,9,1
6,12,24,1,1
6,13,26,15,1
6,14,30,3,1
6,15,1,20,0
7,1,11,30,0
7,2,7,26,0
7,3,28,9,1
7,4,26,7,1
7,5,17,1,1
7,6,13,17,1
7,7,5,24,0
7,8,22,13,1
7,9,24,15,1
7,10,30,11,1
7,11,9,28,0
7,12,1,20,0
7,13,15,3,1
7,14,3,22,0
7,15,20,5,1
8,1,30,11,1
8,2,26,15,1
8,3,9,28,0
8,4,7,26,0
8,5,1,20,0
8,6,17,9,1
8,7,24,5,1
8,8,13,1,1
8,9,15,13,1
8,10,11,30,0
8,11,28,3,1
8,12,20,17,1
8,13,3,22,0
8,14,22,7,1
8,15,5,24,0
9,1,11,30,0
9,2,15,7,1
9,3,28,5,1
9,4,26,11,1
9,5,20,1,1
9,6,9,28,0
9,7,5,24,0
9,8,1,20,0
9,9,13,9,1
9,10,30,15,1
9,11,3,22,0
9,12,17,17,1
9,13,22,3,1
9,14,7,26,0
9,15,24,13,1
10,1,30,15,1
10,2,7,26,0
10,3,5,24,0
10,4,11,30,0
10,5,1,20,0
10,6,28,1,1
10,7,24,5,1
10,8,20,9,1
10,9,9,28,0
10,10,15,11,1
10,11,22,7,1
10,12,17,13,1
10,13,3,22,0
10,14,26,3,1
10,15,13,17,1
11,1,15,7,1
11,2,26,15,1
11,3,24,9,1
11,4,30,11,1
11,5,20,1,1
11,6,1,20,0
11,7,5,24,0
11,8,9,28,0
11,9,28,13,1
11,10,11,30,0
11,11,7,26,0
11,12,13,5,1
11,13,22,3,1
11,14,3,22,0
11,15,17,17,1
12,1,7,26,0
12,2,15,9,1
12,3,9,28,0
12,4,11,30,0
12,5,1,20,0
12,6,20,1,1
12,7,24,13,1
12,8,28,5,1
12,9,13,11,1
12,10,30,3,1
12,11,26,7,1
12,12,5,24,0
12,13,3,22,0
12,14,22,15,1
12,15,17,17,1
13,1,26,11,1
13,2,9,28,0
13,3,28,13,1
13,4,30,15,1
13,5,20,9,1
13,6,1,20,0
13,7,13,5,1
13,8,5,24,0
13,9,11,30,0
13,10,3,22,0
13,11,7,26,0
13,12,24,1,1
13,13,22,7,1
13,14,15,3,1
13,15,17,17,1
14,1,11,30,0
14,2,28,3,1
14,3,13,13,1
14,4,15,7,1
14,5,9,28,0
14,6,20,17,1
14,7,5,24,0
14,8,24,11,1
14,9,30,9,1
14,10,22,15,1
14,11,26,5,1
14,12,1,20,0
14,13,7,26,0
14,14,3,22,0
14,15,17,1,1
15,1,30,15,1
15,2,3,22,0
15,3,13,13,1
15,4,7,26,0
15,5,28,1,1
15,6,17,17,1
15,7,24,9,1
15,8,11,30,0
15,9,9,28,0
15,10,15,7,1
15,11,5,24,0
15,12,20,5,1
15,13,26,3,1
15,14,22,11,1
15,15,1,20,0
16,1,15,15,1
16,2,22,11,1
16,3,13,13,1
16,4,26,3,1
16,5,1,20,0
16,6,17,17,1
16,7,9,28,0
16,8,30,7,1
16,9,28,9,1
16,10,7,26,0
16,11,24,5,1
16,12,5,24,0
16,13,3,22,0
16,14,11,30,0
16,15,20,1,1
17,1,15,3,1
17,2,11,30,0
17,3,13,5,1
17,4,3,22,0
17,5,20,17,1
17,6,17,1,1
17,7,28,9,1
17,8,7,26,0
17,9,9,28,0
17,10,26,11,1
17,11,5,24,0
17,12,24,13,1
17,13,22,15,1
17,14,30,7,1
17,15,1,20,0
18,1,3,22,0
18,2,30,7,1
18,3,5,24,0
18,4,22,15,1
18,5,17,1,1
18,6,1,20,0
18,7,9,28,0
18,8,26,11,1
18,9,28,9,1
18,10,11,30,0
18,11,24,13,1
18,12,13,5,1
18,13,15,3,1
18,14,7,26,0
18,15,20,17,1
19,1,22,15,1
19,2,7,26,0
19,3,24,11,1
19,4,15,5,1
19,5,1,20,0
19,6,20,17,1
19,7,28,1,1
19,8,11,13,1
19,9,9,28,0
19,10,30,3,1
19,11,13,32,0
19,12,5,24,0
19,13,3,22,0
19,14,26,9,1
19,15,17,7,1
20,1,15,7,1
20,2,26,9,1
20,3,11,30,0
20,4,5,24,0
20,5,20,17,1
20,6,17,1,1
20,7,1,20,0
20,8,13,13,1
20,9,28,11,1
20,10,3,22,0
20,11,32,15,1
20,12,24,5,1
20,13,22,3,1
20,14,9,28,0
20,15,7,26,0
21,1,7,26,0
21,2,9,28,0
21,3,30,7,1
21,4,24,15,1
21,5,17,1,1
21,6,1,20,0
21,7,20,11,1
21,8,13,5,1
21,9,11,30,0
21,10,22,13,1
21,11,15,3,1
21,12,5,24,0
21,13,3,22,0
21,14,28,9,1
21,15,26,17,1
22,1,26,11,1
22,2,28,7,1
22,3,7,26,0
22,4,15,3,1
22,5,1,20,0
22,6,20,17,1
22,7,11,30,0
22,8,5,24,0
22,9,30,5,1
22,10,13,1,1
22,11,3,22,0
22,12,24,13,1
22,13,22,15,1
22,14,9,28,0
22,15,17,9,1
23,1,11,30,0
23,2,7,26,0
23,3,26,1,1
23,4,3,22,0
23,5,20,17,1
23,6,17,13,1
23,7,30,5,1
23,8,24,3,1
23,9,5,24,0
23,10,1,20,0
23,11,22,15,1
23,12,13,9,1
23,13,15,11,1
23,14,28,7,1
23,15,9,28,0
24,1,30,3,1
24,2,26,7,1
24,3,1,20,0
24,4,22,11,1
24,5,17,17,1
24,6,13,13,1
24,7,5,24,0
24,8,3,22,0
24,9,24,5,1
24,10,20,15,1
24,11,15,9,1
24,12,9,28,0
24,13,11,30,0
24,14,7,26,0
24,15,28,1,1
25,1,3,22,0
25,2,7,26,0
25,3,20,13,1
25,4,11,30,0
25,5,17,1,1
25,6,13,17,1
25,7,24,9,1
25,8,22,11,1
25,9,5,24,0
25,10,15,7,1
25,11,9,28,0
25,12,28,5,1
25,13,30,3,1
25,14,26,15,1
25,15,1,20,0
26,1,22,15,1
26,2,26,7,1
26,3,13,13,1
26,4,30,11,1
26,5,1,20,0
26,6,17,1,1
26,7,9,28,0
26,8,11,30,0
26,9,24,5,1
26,10,7,26,0
26,11,28,9,1
26,12,5,24,0
26,13,3,22,0
