round,sensor_id,aoi_before,aoi_after,visited
1,1,0,19,0
1,2,0,9,1
1,3,0,19,0
1,4,0,19,0
1,5,0,19,0
1,6,0,19,0
1,7,0,19,0
1,8,0,13,1
1,9,0,15,1
1,10,0,19,0
1,11,0,19,0
1,12,0,19,0
1,13,0,19,0
1,14,0,19,0
1,15,0,19,0
1,16,0,19,0
1,17,0,19,0
1,18,0,19,0
1,19,0,1,1
1,20,0,19,0
1,21,0,19,0
1,22,0,5,1
1,23,0,3,1
1,24,0,19,0
1,25,0,17,1
1,26,0,19,0
1,27,0,11,1
1,28,0,7,1
1,29,0,19,0
1,30,0,19,0
2,1,19,13,1
2,2,9,28,0
2,3,19,1,1
2,4,19,38,0
2,5,19,5,1
2,6,19,17,1
2,7,19,38,0
2,8,13,32,0
2,9,15,34,0
2,10,19,7,1
2,11,19,38,0
2,12,19,38,0
2,13,19,38,0
2,14,19,3,1
2,15,19,38,0
2,16,19,38,0
2,17,19,9,1
2,18,19,38,0
2,19,1,20,0
2,20,19,38,0
2,21,19,38,0
2,22,5,24,0
2,23,3,22,0
2,24,19,15,1
2,25,17,36,0
2,26,19,11,1
2,27,11,30,0
2,28,7,26,0
2,29,19,38,0
2,30,19,38,0
3,1,13,32,0
3,2,28,47,0
3,3,1,20,0
3,4,38,57,0
3,5,5,24,0
3,6,17,36,0
3,7,38,3,1
3,8,32,51,0
3,9,34,53,0
3,10,7,26,0
3,11,38,57,0
3,12,38,13,1
3,13,38,1,1
3,14,3,22,0
3,15,38,57,0
3,16,38,7,1
3,17,9,28,0
3,18,38,11,1
3,19,20,39,0
3,20,38,15,1
3,21,38,9,1
3,22,24,43,0
3,23,22,41,0
3,24,15,34,0
3,25,36,55,0
3,26,11,30,0
3,27,30,49,0
3,28,26,45,0
3,29,38,17,1
3,30,38,5,1
4,1,32,51,0
4,2,47,1,1
4,3,20,39,0
4,4,57,9,1
4,5,24,43,0
4,6,36,55,0
4,7,3,22,0
4,8,51,3,1
4,9,53,13,1
4,10,26,45,0
4,11,57,5,1
4,12,13,32,0
4,13,1,20,0
4,14,22,41,0
4,15,57,11,1
4,16,7,26,0
4,17,28,47,0
4,18,11,30,0
4,19,39,58,0
4,20,15,34,0
4,21,9,28,0
4,22,43,62,0
4,23,41,60,0
4,24,34,53,0
4,25,55,7,1
4,26,30,49,0
4,27,49,17,1
4,28,45,15,1
4,29,17,36,0
4,30,5,24,0
5,1,51,13,1
5,2,1,20,0
5,3,39,58,0
5,4,9,28,0
5,5,43,62,0
5,6,55,17,1
5,7,22,41,0
5,8,3,22,0
5,9,13,32,0
5,10,45,7,1
5,11,5,24,0
5,12,32,51,0
5,13,20,39,0
5,14,41,60,0
5,15,11,30,0
5,16,26,45,0
5,17,47,5,1
5,18,30,49,0
5,19,58,15,1
5,20,34,53,0
5,21,28,47,0
5,22,62,11,1
5,23,60,1,1
5,24,53,9,1
5,25,7,26,0
5,26,49,3,1
5,27,17,36,0
5,28,15,34,0
5,29,36,55,0
5,30,24,43,0
6,1,13,32,0
6,2,20,39,0
6,3,58,1,1
6,4,28,47,0
6,5,62,3,1
6,6,17,36,0
6,7,41,60,0
6,8,22,41,0
6,9,32,51,0
6,10,7,26,0
6,11,24,43,0
6,12,51,5,1
6,13,39,58,0
6,14,60,9,1
6,15,30,49,0
6,16,45,7,1
6,17,5,24,0
6,18,49,15,1
6,19,15,34,0
6,20,53,11,1
6,21,47,17,1
6,22,11,30,0
6,23,1,20,0
6,24,9,28,0
6,25,26,45,0
6,26,3,22,0
6,27,36,55,0
6,28,34,53,0
6,29,55,13,1
6,30,43,62,0
7,1,32,51,0
7,2,39,58,0
7,3,1,20,0
7,4,47,7,1
7,5,3,22,0
7,6,36,55,0
7,7,60,11,1
7,8,41,60,0
7,9,51,5,1
7,10,26,45,0
7,11,43,62,0
7,12,5,24,0
7,13,58,3,1
7,14,9,28,0
7,15,49,17,1
7,16,7,26,0
7,17,24,43,0
7,18,15,34,0
7,19,34,53,0
7,20,11,30,0
7,21,17,36,0
7,22,30,49,0
7,23,20,39,0
7,24,28,47,0
7,25,45,1,1
7,26,22,41,0
7,27,55,13,1
7,28,53,15,1
7,29,13,32,0
7,30,62,9,1
8,1,51,1,1
8,2,58,5,1
8,3,20,39,0
8,4,7,26,0
8,5,22,41,0
8,6,55,15,1
8,7,11,30,0
8,8,60,17,1
8,9,5,24,0
