round,energy_final,collected_aoi,avg_final_aoi,visited_count,total_distance,path_taken
1,63503.5453,81.0000,17.2000,9,1778.1131,0 -> 11 -> 11 -> 33 -> 33 -> 48 -> 48 -> 49 -> 49 -> 26 -> 26 -> 16 -> 16 -> 37 -> 37 -> 35 -> 35 -> 13 -> 13 -> 0
2,76368.8353,250.0000,31.0200,9,2180.4414,0 -> 11 -> 11 -> 36 -> 36 -> 29 -> 29 -> 19 -> 19 -> 30 -> 30 -> 50 -> 50 -> 6 -> 6 -> 32 -> 32 -> 25 -> 25 -> 0
3,67840.1837,395.0000,41.9400,9,1788.0538,0 -> 33 -> 33 -> 48 -> 48 -> 49 -> 49 -> 26 -> 26 -> 1 -> 1 -> 18 -> 18 -> 39 -> 39 -> 15 -> 15 -> 40 -> 40 -> 0
4,75735.0431,550.0000,49.7600,9,2171.6695,0 -> 11 -> 11 -> 36 -> 36 -> 43 -> 43 -> 44 -> 44 -> 17 -> 17 -> 7 -> 7 -> 10 -> 10 -> 2 -> 2 -> 23 -> 23 -> 0
5,65387.9564,707.0000,54.4400,9,2526.9694,0 -> 33 -> 33 -> 3 -> 3 -> 31 -> 31 -> 5 -> 5 -> 24 -> 24 -> 9 -> 9 -> 38 -> 38 -> 41 -> 41 -> 13 -> 13 -> 0
6,76076.7228,671.0000,59.8400,9,2240.5368,0 -> 11 -> 11 -> 36 -> 36 -> 29 -> 29 -> 19 -> 19 -> 30 -> 30 -> 50 -> 50 -> 6 -> 6 -> 22 -> 22 -> 4 -> 4 -> 0
7,66058.0151,783.0000,63.0000,9,1990.6556,0 -> 48 -> 48 -> 49 -> 49 -> 26 -> 26 -> 16 -> 16 -> 37 -> 37 -> 35 -> 35 -> 1 -> 1 -> 18 -> 18 -> 39 -> 39 -> 0
8,77543.4171,596.0000,69.9000,9,2220.5236,0 -> 33 -> 33 -> 11 -> 11 -> 36 -> 36 -> 43 -> 43 -> 44 -> 44 -> 17 -> 17 -> 7 -> 7 -> 10 -> 10 -> 2 -> 2 -> 0
9,136858.9377,1336.0000,62.0000,9,3084.9519,0 -> 42 -> 42 -> 4 -> 4 -> 34 -> 34 -> 28 -> 28 -> 27 -> 27 -> 12 -> 12 -> 45 -> 45 -> 20 -> 20 -> 8 -> 8 -> 0
10,68012.1036,682.0000,67.1800,9,1764.7735,0 -> 11 -> 11 -> 33 -> 33 -> 48 -> 48 -> 49 -> 49 -> 26 -> 26 -> 13 -> 13 -> 3 -> 3 -> 31 -> 31 -> 40 -> 40 -> 0
11,83903.9986,1432.0000,57.3600,9,2647.1319,0 -> 46 -> 46 -> 32 -> 32 -> 25 -> 25 -> 14 -> 14 -> 47 -> 47 -> 21 -> 21 -> 23 -> 23 -> 50 -> 50 -> 30 -> 30 -> 0
